bytes,highway_hash,xx,sea_hash,xx_rs_64,fnv,ahash,xx_rs,fx,blake3_hash,sip13
1,16,38,71,142,1000,500,90,1000,10,250
2,32,76,142,222,2000,1000,153,2000,21,500
4,64,160,333,666,4000,2000,363,4000,44,1000
8,129,307,1000,1333,4000,4000,666,8000,91,1600
16,253,640,1777,1333,3200,8000,1333,16000,179,2666
32,524,1280,3555,3555,2285,16000,2285,32000,359,3555
64,1015,2461,4923,6400,1560,16000,4923,21333,719,4571
128,1910,4413,6736,9142,1267,18285,8533,16000,901,5120
256,3459,6095,7529,12190,1185,19692,11636,12800,1011,5446
512,5752,10240,8827,14222,1137,18962,16516,9846,1068,5505
1024,8677,13298,9309,15753,1116,18285,19320,8062,1104,5565
2048,11702,16384,9102,16516,1089,17964,19692,7447,2171,5626
