bytes,blake3_hash,ahash,btree,fx,sea_hash,xx,highway_hash,xx_rs,xx_rs_64,sip13,fnv
1,11,112,34,169,29,19,12,36,46,54,84
2,21,198,62,270,56,38,24,65,80,103,82
4,42,387,97,531,119,78,47,134,199,220,306
8,84,750,197,1047,265,164,96,315,379,387,545
16,170,1514,392,1775,514,319,191,570,575,692,763
32,345,3084,993,3616,1063,622,358,1034,921,1325,967
64,397,5238,1916,5896,1891,1228,704,2113,1645,2056,993
128,590,7389,3862,7237,3097,2132,1340,3747,2951,3089,987
256,745,8916,7651,7358,4466,3089,2416,4193,4860,3673,985
512,870,9749,16636,5775,5564,5126,4094,6581,6739,4104,953
1024,877,10962,29595,5688,6385,7526,6300,8976,9056,4448,964
2048,933,12002,37739,5825,7109,10045,8506,11509,10922,4726,972
