bytes,blake3_hash,ahash,btree,fx,sea_hash,xx,highway_hash,xx_rs,xx_rs_64,sip13,fnv
1,90576,8853,29050,5901,33334,50185,81215,27672,21582,18318,11830
2,92448,10097,32131,7386,35224,52441,82994,30350,24805,19251,24154
4,93681,10311,41124,7531,33585,50790,83465,29810,20024,18105,13036
8,94294,10664,40455,7634,30156,48739,83166,25362,21101,20670,14671
16,93756,10563,40792,9010,31108,50055,83762,28044,27791,23100,20950
32,92692,10374,32215,8848,30096,51444,89243,30932,34726,24133,33065
64,161073,12218,33387,10854,33836,52085,90799,30279,38902,31123,64422
128,216672,17321,33139,17686,41322,60015,95506,34154,43371,41433,129597
256,343243,28711,33457,34790,57315,82861,105931,61040,52671,69692,259672
512,587963,52517,30775,88647,92015,99866,125060,77788,75967,124755,537073
1024,1166779,93406,34600,180024,160362,136048,162533,114072,113068,230169,1061208
2048,2194128,170628,54267,351547,288061,203871,240748,177939,187495,433273,2106476
