bytes,ahash,xx_rs,fnv,fx,highway_hash,sea_hash,sip13,btree,xx,xx_rs_64,blake3_hash
1,87,27,48,120,9,22,38,24,14,34,8
2,84,29,43,101,9,24,43,24,15,36,8
4,169,58,132,202,19,52,91,43,31,82,17
8,329,148,226,404,38,119,166,90,68,165,34
16,675,256,310,763,77,234,319,179,136,269,69
32,1240,451,346,1407,144,458,556,419,252,399,138
64,2115,935,388,2275,284,783,878,828,491,701,162
128,3214,1684,386,2879,539,1272,1266,1679,866,1251,238
256,4124,1772,395,2965,983,1833,1560,3329,1286,2057,303
512,4800,2819,390,2689,1680,2360,1755,6637,2177,3059,354
1024,5073,3947,391,2530,2625,2740,1854,12554,3193,4022,356
2048,5421,5131,392,2500,3696,2980,1960,24804,4289,4818,376
