bytes,ahash,xx_rs,fnv,fx,highway_hash,sea_hash,sip13,btree,xx,xx_rs_64,blake3_hash
1,11416,36715,20819,8304,108492,44439,25940,40148,68392,28956,122253
2,23700,68892,45890,19778,204173,82990,46184,83178,126650,55031,230018
4,23661,68296,30107,19747,203203,75927,43516,92990,126967,48198,230158
8,24255,53838,35276,19780,205949,67002,47989,88156,116205,48416,230841
16,23678,62421,51587,20969,205411,68096,50110,89025,117569,59450,231296
32,25791,70909,92389,22735,221638,69826,57458,76208,126752,80011,231776
64,30253,68409,164755,28127,225103,81683,72827,77272,130135,91218,393822
128,39816,76007,331533,44448,237334,100623,101050,76205,147661,102289,537795
256,62069,144400,647764,86330,260333,139592,164032,76880,199015,124418,842728
512,106650,181578,1310202,190390,304636,216893,291595,77136,235092,167336,1444163
1024,201818,259396,2617515,404682,390065,373713,552160,81567,320671,254571,2872022
2048,377787,399097,5220424,819031,553992,687238,1044656,82564,477401,425041,5440530
